date,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,頂埔
01/21/2015,5317,16189,34431,47580,23391,14202,11376,3676,2981,13683,1941,4519,6300,10600,10126,18334,15061,5436,7833,3031,7643,8486,3084,33121,2016,10418,11516,14718,20194,14573,8489,25582,19076,32487,26438,7315,35523,26247,25062,19880,26417,136894,34470,24147,24089,24965,31304,29747,24449,12924,32399,7225,7391,19384,6829,3538,3027,11301,10290,7445,32882,15312,6635,19762,16369,26410,36321,37618,25154,26286,62019,21277,29063,40552,24984,55700,20506,18242,15744,10824,9133,23915,16030,6275,5375,37121,17529,17897,16881,8554,10726,4334,4097,3971,8198,8268,11106,16171,28320,22203,10630,11730,11631,11071,10973,7912,7093,0
01/22/2015,5378,15884,35173,48659,23675,14430,11560,3656,3099,13694,1977,4440,6747,10999,10402,18509,14896,5369,7941,3311,7567,8644,3117,36425,2191,10588,11217,14772,20199,14448,8521,25904,19069,31880,27481,7235,35297,25810,25036,19731,25941,138470,35040,23614,24202,25300,32391,30220,23321,12658,31989,7319,7327,19369,7588,3544,2988,11133,10097,7362,32893,15113,6446,19807,16339,27126,36528,37355,25064,26134,61587,21309,29643,41067,25376,57372,21054,18417,15529,11010,9124,24043,15873,6175,5426,37359,19023,18009,16674,8680,10942,4457,4187,4036,8198,8082,11173,16073,28041,22717,10458,11784,11766,11142,11013,7875,7489,0
01/23/2015,5649,17162,36955,54674,24566,15132,12190,3807,3010,13923,2145,4514,7441,10986,11378,18873,15635,5753,8479,3349,7907,8986,3163,32559,3392,11348,12131,15507,21643,15734,9161,27969,20307,33431,28732,7486,37435,27608,26062,20971,27038,164227,39304,25332,25576,28034,35008,32232,25608,12942,32912,7663,7651,20117,8171,3604,3002,11383,10420,7930,34236,16298,7024,20935,16710,29389,40802,39011,26236,27325,71689,23075,30859,46000,28144,63410,21599,19272,16516,11594,10097,25893,17125,6910,5900,39484,19900,19361,18529,8976,12162,4976,4466,4360,8457,8874,11353,17163,29222,24359,11474,12388,12799,11725,12210,8375,7618,0
01/24/2015,4551,11446,22887,55989,14934,10731,9009,3449,2714,10088,1745,3393,11240,8432,14145,7366,7438,4251,7917,4429,5852,7258,1561,20846,2371,12857,10223,12790,16756,16292,8442,30688,21488,28697,24044,4239,32240,23517,21801,18370,15018,166686,39888,21815,18569,25577,41510,31617,22613,9960,26544,6285,5730,17443,10726,3916,2065,8748,9745,6937,43416,14548,6313,17696,12615,27875,39606,33758,21701,28696,79452,15103,29745,41474,26510,56712,15546,17879,10372,9550,9331,26870,13301,10309,4702,22114,17990,14311,19500,8105,11258,4821,2593,3777,7254,8788,9378,13188,22575,23450,9915,10614,11890,10093,11040,7424,7189,0
01/25/2015,4333,9736,16143,43532,11835,8297,7161,3061,2407,7974,1596,2891,11886,6397,11567,5607,6184,3896,6754,4146,4869,6197,1347,19396,2173,11740,9007,11048,12977,12276,7298,26860,17488,22132,21000,3298,27341,19768,18034,15864,11328,148538,32696,16029,17166,22948,35847,26524,22877,7653,21972,5256,5449,15532,9738,2829,1738,7893,7914,6044,41162,12951,5184,15346,10120,23158,34515,28504,17749,25058,69661,14476,24864,30722,22087,46289,13167,14604,9145,8208,8148,20670,10070,9769,3465,16133,10541,11456,14871,6882,9275,3836,1917,3157,5945,7218,7770,10208,17633,19649,8100,9101,9267,8515,9362,6469,6088,0
01/26/2015,5160,15236,32974,45658,22652,13824,11189,3621,2943,13450,1913,4405,5279,8597,9128,15650,14190,5358,7642,2904,7436,8251,2887,27681,2028,10305,11535,14352,19733,14007,8372,24254,18274,31772,25955,7127,34738,25203,24607,19326,25538,135733,32701,23811,23466,23818,29336,27082,22348,12719,31189,7448,6914,18521,6408,3554,2957,10879,9745,6879,31751,14660,6650,19454,16109,25447,35859,36381,24331,25809,60885,19580,27566,38718,24076,55900,19607,17991,15820,10434,8450,23184,14816,5880,5507,35928,17903,17574,15672,8010,10312,4177,3915,3695,7990,7940,11065,15608,26976,21118,10445,11427,11541,10778,10854,7226,7081,0
01/27/2015,5317,16382,36749,49206,24362,14926,11894,3894,3030,14147,1997,4400,5428,8963,11419,16880,15380,5886,8441,2781,8245,9526,3231,29750,2298,10589,12107,15434,21670,14974,9038,27494,19433,34398,29336,7464,37627,27202,26619,20886,26968,143997,35900,24993,24343,24721,31514,29611,23861,13513,32410,7624,7521,19596,6788,3631,3010,11275,10273,7078,31654,15580,6888,21061,16954,28948,39284,39235,26305,26380,72914,21170,29201,42509,26118,58953,21488,18802,16590,11018,8390,25969,16781,6290,5850,38837,19496,19258,17678,8677,11237,4558,4280,4083,8766,9081,11733,16970,29182,23211,11383,12408,12676,11828,11769,7705,7544,0
01/28/2015,5317,15904,35542,50425,21476,14556,11491,3789,2999,13602,1906,3848,6174,8365,10460,16792,14055,4922,8191,2834,7855,8002,3302,29679,2045,10327,11826,15331,19992,14401,8831,26840,19571,34733,29141,7080,35562,26194,25433,20025,27132,149606,36623,25311,23930,24933,32479,28889,25101,12449,32028,7289,7448,18381,7342,3430,2990,11076,10129,7080,31636,15177,6594,19673,16622,28152,38547,37877,25163,26272,66971,20367,30199,43121,27179,60971,19637,18208,15864,10281,8681,32449,16632,6489,5843,37827,17307,19125,17682,8606,11047,4557,4208,3837,8282,8367,10555,15864,27888,23057,10438,11509,12074,10967,11186,7404,7108,0
01/29/2015,5343,16037,35509,50741,21390,14122,11642,3755,2940,13222,1977,3749,8798,8715,10827,16691,14381,4721,8099,3262,7795,8058,3264,29290,2223,10963,11892,15178,20248,14162,8839,27170,19554,33508,29276,6928,35826,26690,25407,20244,26400,151604,37022,26363,24266,24743,36245,31870,24211,12202,31828,7512,7532,18718,7903,3694,2865,11011,9863,7070,34860,15558,6609,19597,16247,27948,38304,38188,25131,26773,66852,19474,30240,42338,26984,60279,18875,18502,15825,10334,9138,33221,16290,7177,5798,38092,18101,19174,18072,8353,11129,4864,4275,4034,8150,8558,10675,15836,27794,23210,10774,11826,12019,10835,11194,7407,7375,0
01/30/2015,5899,16954,37242,57392,22017,14591,11944,3861,3026,13597,1997,3626,7734,9323,12329,17496,15024,5110,8363,3244,7788,8360,3382,31482,2220,11162,12237,15455,20848,15409,9228,29734,20930,34452,30391,6958,37412,27366,26278,20803,26612,172327,40277,27066,24786,26870,36830,30925,25337,12158,32094,7528,7611,18870,8128,3658,3070,11117,9914,7611,33255,16234,6937,20288,16413,29226,40792,38861,26358,27252,74793,20743,31496,46098,29533,65571,21549,18666,16014,10698,9480,34860,17749,7078,6114,39656,18402,19419,19131,8760,11658,4842,4480,4064,8239,8789,10879,17993,29155,24441,10993,12084,12693,11004,11370,7625,7540,0
01/31/2015,4616,11654,24092,60229,19868,10681,9089,3432,2678,9954,1586,2916,8677,7322,13179,6880,8164,4549,7944,3267,6380,7882,1722,24457,2394,11318,10099,12998,16787,14029,8358,30280,20960,29245,25766,4338,33404,23650,22071,19082,15700,176877,41650,24347,19543,39681,40214,30747,22400,9971,26510,5907,5885,16531,10202,3255,1910,7828,8978,5989,35393,14341,6469,18349,12695,28615,39474,33820,21597,28666,81828,16045,29737,42915,27930,62050,16974,17541,10680,9043,7854,41068,13888,8734,4741,23616,16570,14746,18585,7817,11883,4603,2640,3653,7853,8924,9826,13123,21730,23224,10011,11287,12231,10040,10834,7253,7235,0
02/01/2015,4314,9512,16717,46369,16420,8550,7498,3222,2504,7997,1473,2820,11021,6321,11821,5148,6500,4731,6682,3649,5180,6798,1630,17062,2513,11341,9329,11401,13336,12286,7490,28759,17649,22999,22865,3716,28787,20172,18879,16763,12015,159089,33447,15507,18975,33903,36719,25937,23248,8757,23053,5425,4859,15481,8991,2965,1713,7469,7980,6034,39274,13362,5702,16515,10488,23499,35104,28619,18194,25649,69025,13368,24882,31577,21906,51256,13679,15046,9558,8196,8055,37254,10522,9595,3941,17991,10409,11836,15400,7422,9206,4028,1941,3186,6316,7723,8193,10567,18019,20162,8637,10088,10206,8832,9636,6564,6608,0
